,CB_company_uuid,legal_name,domain,city,status,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,founded_on,last_funding_on,employee_count,raised_amount_usd,acquiree_name,acquirer_name,acquired_on,went_public_on,valuation_price_usd,valuation_price,money_raised_usd,money_raised,CB_people_uuid,person_name,started_on,ended_on,is_current,title,job_type,first_name,last_name,gender,facebook_url,linkedin_url,twitter_url,facebook_url_exists,linkedin_url_exists,twitter_url_exists
22391,425ee150-a66d-c8b3-b0c2-18fc5aed8093,"Origami Logic, Inc.",origamilogic.com,Mountain View,closed,"Advertising,Data and Analytics,Sales and Marketing,Software",4.0,64500000.0,64500000.0,2012-01-01,2018-01-30,51-100,64500000.0,Origami Logic,Intuit,2019-05-28,,,,,,64f781f7-b5c7-c418-6ab2-4927e0f15c0d,Opher Kahane,2011-12-01,2019-05-01,False,CEO & co-founder,executive,Opher,Kahane,male,http://www.facebook.com/opher.kahane,http://www.linkedin.com/in/okahane,http://twitter.com/kahanop,1,1,1
22392,425ee150-a66d-c8b3-b0c2-18fc5aed8093,"Origami Logic, Inc.",origamilogic.com,Mountain View,closed,"Advertising,Data and Analytics,Sales and Marketing,Software",4.0,64500000.0,64500000.0,2012-01-01,2018-01-30,51-100,64500000.0,Origami Logic,Intuit,2019-05-28,,,,,,39ae5ecb-3b50-2c1e-a98e-869b30bf2cec,Alon Amit,2012-05-01,,True,Co-founder and Chief Product Officer,executive,Alon,Amit,male,http://www.facebook.com/alon.amit,http://www.linkedin.com/in/alonamit,http://twitter.com/alonamit,1,1,1
22394,a020f30b-f1d5-14e0-6c60-70a1acbd9cbe,"Seismic Software, Inc.",seismic.com,San Diego,operating,"Artificial Intelligence,Data and Analytics,Information Technology,Sales and Marketing,Software",6.0,426500000.0,426500000.0,2010-01-01,2021-08-16,501-1000,426500000.0,,,,,,,,,f46be396-5903-a10a-7841-f1dcc3ed2210,Ed Calnan,2011-01-01,,False,Founder & CRO,executive,Ed,Calnan,male,,https://www.linkedin.com/in/edcalnan/,,0,1,0
22395,a020f30b-f1d5-14e0-6c60-70a1acbd9cbe,"Seismic Software, Inc.",seismic.com,San Diego,operating,"Artificial Intelligence,Data and Analytics,Information Technology,Sales and Marketing,Software",6.0,426500000.0,426500000.0,2010-01-01,2021-08-16,501-1000,426500000.0,,,,,,,,,d52ec524-1d18-0726-1384-01174c694072,Nasser Barghouti,2010-06-01,,True,Co-Founder,executive,Nasser,Barghouti,male,,https://www.linkedin.com/in/nasser-barghouti-3b852a3,,0,1,0
22443,8105657f-0655-b662-ef92-4caeae3e94cb,"StreamWeaver, Inc.",streamweaver.com,Nashville,acquired,"Internet Services,Media and Entertainment,Mobile,Software,Video",4.0,3029994.0,3029994.0,2011-01-01,2013-09-01,11-50,3029994.0,Streamweaver,BMC Software,2021-10-01,,,,,,c55a4c48-c9df-3fde-a5a0-0c361fcad67e,Erik Carlson,2011-08-01,2012-12-01,False,CEO & Co-Founder,executive,Erik,Carlson,male,,http://www.linkedin.com/in/erikbcarlson,http://twitter.com/erikbcarlson,0,1,1
22444,8105657f-0655-b662-ef92-4caeae3e94cb,"StreamWeaver, Inc.",streamweaver.com,Nashville,acquired,"Internet Services,Media and Entertainment,Mobile,Software,Video",4.0,3029994.0,3029994.0,2011-01-01,2013-09-01,11-50,3029994.0,Streamweaver,BMC Software,2021-10-01,,,,,,9d31d7f3-7938-40a5-a0a2-3874af5524fe,David Sulpy,2012-09-01,2014-10-01,False,Founding Cloud Software Lead,employee,David,Sulpy,male,https://www.facebook.com/davidsulpy,http://www.linkedin.com/in/davidsulpy,https://twitter.com/davidsulpy,1,1,1
22445,2c37fb45-3185-e652-5bcc-1a3acdda8c0b,"Initial State Technologies, Inc.",initialstate.com,Nashville,acquired,"Data and Analytics,Design,Information Technology,Internet Services,Software",4.0,4045000.0,4045000.0,2012-03-22,2017-01-13,11-50,4045000.0,Initial State Technologies,Tektronix,2018-12-20,,,,,,9d31d7f3-7938-40a5-a0a2-3874af5524fe,David Sulpy,2013-10-25,2020-01-01,False,CTO & Founder,executive,David,Sulpy,male,https://www.facebook.com/davidsulpy,http://www.linkedin.com/in/davidsulpy,https://twitter.com/davidsulpy,1,1,1
22524,a1de2b6d-1f8e-9b4a-339d-4fcd3ef031f6,"Threefold Photos, Inc.",threefoldphotos.com,Corte Madera,closed,"Community and Lifestyle,Content and Publishing,Media and Entertainment,Video",2.0,9500000.0,9500000.0,2012-01-01,2013-12-19,1-10,9500000.0,,,,,,,,,a8ed2526-6ba8-ce1e-e72a-fb17082362ec,Diana Donovan,,,True,Founder & Vice President of Marketing,executive,Diana,Donovan,female,,https://www.linkedin.com/in/dianadonovan,,0,1,0
22544,7ad11657-573d-5159-6678-0e9a2e5023b8,"Trifacta, Inc.",trifacta.com,San Francisco,acquired,"Artificial Intelligence,Data and Analytics,Information Technology,Science and Engineering,Software",8.0,224300000.0,224300000.0,2012-01-01,2019-09-12,101-250,224300000.0,Trifacta,Alteryx,2022-01-06,,,,,,8e603e96-5bec-d1bb-85d5-649e0289a96d,Jeffrey Heer,2012-06-01,,True,Co-Founder & CXO,executive,Jeffrey,Heer,male,,https://www.linkedin.com/in/jeffreyheer,http://twitter.com/jeffrey_heer,0,1,1
22545,7ad11657-573d-5159-6678-0e9a2e5023b8,"Trifacta, Inc.",trifacta.com,San Francisco,acquired,"Artificial Intelligence,Data and Analytics,Information Technology,Science and Engineering,Software",8.0,224300000.0,224300000.0,2012-01-01,2019-09-12,101-250,224300000.0,Trifacta,Alteryx,2022-01-06,,,,,,8efb745b-79a1-9249-349b-6446db288ed6,Sean Kandel,2012-04-01,,True,Founder & CTO,executive,Sean,Kandel,male,,https://www.linkedin.com/in/seankandel,https://twitter.com/seankandel,0,1,1
22546,7ad11657-573d-5159-6678-0e9a2e5023b8,"Trifacta, Inc.",trifacta.com,San Francisco,acquired,"Artificial Intelligence,Data and Analytics,Information Technology,Science and Engineering,Software",8.0,224300000.0,224300000.0,2012-01-01,2019-09-12,101-250,224300000.0,Trifacta,Alteryx,2022-01-06,,,,,,b065788f-e98b-a51d-bc43-f89bba2e499b,Joe Hellerstein,2014-07-01,,True,Founder & Chief Strategy Officer,executive,Joe,Hellerstein,male,https://www.facebook.com/joe.hellerstein,https://www.linkedin.com/in/joehellerstein,http://twitter.com/joe_hellerstein,1,1,1
22557,43ffa2ac-de20-33d7-811c-51a23832c779,"NerVve Technologies, Inc.",nervve.com,Buffalo,closed,"Artificial Intelligence,Data and Analytics,Internet Services,Media and Entertainment,Sales and Marketing,Software,Video",3.0,5300000.0,5300000.0,2012-01-01,2014-10-20,11-50,5300000.0,,,,,,,,,79f511f0-ba28-d84a-539a-13c57624c88e,Jacob H. Goellner,,,False,Founder & CTO,executive,Jacob,H. Goellner,male,,https://www.linkedin.com/in/jacob-goellner-204bb4103,,0,1,0
22558,43ffa2ac-de20-33d7-811c-51a23832c779,"NerVve Technologies, Inc.",nervve.com,Buffalo,closed,"Artificial Intelligence,Data and Analytics,Internet Services,Media and Entertainment,Sales and Marketing,Software,Video",3.0,5300000.0,5300000.0,2012-01-01,2014-10-20,11-50,5300000.0,,,,,,,,,def5a2db-3ff7-0e8a-e522-44d2b867e09c,Thomas E. Slowe,2012-01-01,,False,Founder & CEO,executive,Thomas,E. Slowe,male,,https://www.linkedin.com/pub/thomas-slowe/10/471/869,,0,1,0
22559,0db218a4-afd1-05bf-4fc1-b61c22f9fc27,Yoga Smoga Inc,yogasmoga.com,New York,closed,"Clothing and Apparel,Commerce and Shopping,Design,Manufacturing,Sports",3.0,8415277.0,8415277.0,2010-01-01,2015-03-20,101-250,8415277.0,,,,,,,,,a9ab1750-e9ad-8e15-6f6b-db33337fefc5,Rishi Bali,2010-01-01,2018-07-01,False,Founder & CEO (Board Director),executive,Rishi,Bali,male,,https://www.linkedin.com/in/rishibali/,,0,1,0
22560,0db218a4-afd1-05bf-4fc1-b61c22f9fc27,Yoga Smoga Inc,yogasmoga.com,New York,closed,"Clothing and Apparel,Commerce and Shopping,Design,Manufacturing,Sports",3.0,8415277.0,8415277.0,2010-01-01,2015-03-20,101-250,8415277.0,,,,,,,,,32fa675e-3cb2-f943-4fd7-5a662abd9877,Tapasya Bali,2014-02-01,,True,Co-Founder & Chief Operating Officer (Board Director),executive,Tapasya,Bali,female,,https://www.linkedin.com/in/tapasya-bali/,,0,1,0
22567,015887d8-1cd1-4c94-0941-ad27ce721e8b,"AdTheorent, Inc.",adtheorent.com,New York,ipo,"Advertising,Artificial Intelligence,Data and Analytics,Sales and Marketing,Science and Engineering,Software",4.0,126700000.0,126700000.0,2011-01-01,2021-12-23,101-250,126700000.0,,,,2021-12-23,1000000000.0,1000000000.0,316000000.0,316000000.0,1b8eeaf4-c620-289a-efd8-955da0072b3b,Dogan Aksoy,2010-02-01,2018-01-01,False,Co-Founder & EVP | Head of Client Services & Operations,executive,Dogan,Aksoy,male,,https://www.linkedin.com/in/doganaksoy/,,0,1,0
22568,015887d8-1cd1-4c94-0941-ad27ce721e8b,"AdTheorent, Inc.",adtheorent.com,New York,ipo,"Advertising,Artificial Intelligence,Data and Analytics,Sales and Marketing,Science and Engineering,Software",4.0,126700000.0,126700000.0,2011-01-01,2021-12-23,101-250,126700000.0,,,,2021-12-23,1000000000.0,1000000000.0,316000000.0,316000000.0,709f889c-9057-1510-a34b-b6dac0a97bb9,Josh Walsh,2011-02-01,,True,Co-Founder,executive,Josh,Walsh,male,,https://www.linkedin.com/in/joshuawalsh/,,0,1,0
22678,2ece637b-494e-dc1d-a94e-25bd9559e6a6,"Lettuce, Inc.",lettuceapps.com,Venice,acquired,"Commerce and Shopping,Information Technology,Sales and Marketing,Software",2.0,3100000.0,3100000.0,2012-01-01,2013-08-01,11-50,3100000.0,Lettuce,Intuit,2014-05-08,,,,,,faae34ca-7bf1-e66f-7998-fb26af9138b3,Frank Jones,,2015-08-31,False,CTO and Co-founder,executive,Frank,Jones,male,,http://www.linkedin.com/pub/frank-jones/43/56a/364,http://twitter.com/lettuceapp,0,1,1
22679,2ece637b-494e-dc1d-a94e-25bd9559e6a6,"Lettuce, Inc.",lettuceapps.com,Venice,acquired,"Commerce and Shopping,Information Technology,Sales and Marketing,Software",2.0,3100000.0,3100000.0,2012-01-01,2013-08-01,11-50,3100000.0,Lettuce,Intuit,2014-05-08,,,,,,825bfc4b-cce9-cc47-d284-8368059dd6f5,Raad Mobrem,2011-10-01,2015-06-01,False,CEO and Co-founder,executive,Raad,Mobrem,male,,http://www.linkedin.com/in/raadmobrem,http://twitter.com/raadmobrem,0,1,1
22717,50f15ec8-ad83-0ea5-c38c-f34aefbed433,"Splice Machine, Inc.",splicemachine.com,San Francisco,operating,"Data and Analytics,Information Technology,Software",5.0,47500000.0,47500000.0,2012-01-01,2019-02-20,11-50,47500000.0,,,,,,,,,cc46d154-db0f-933e-6d76-411c36bdac2b,John Leach,2012-09-01,2018-06-01,False,Co-Founder and Chief Technology Officer,executive,John,Leach,male,,http://www.linkedin.com/in/johnleach,http://twitter.com/JleachJohn,0,1,1
22718,50f15ec8-ad83-0ea5-c38c-f34aefbed433,"Splice Machine, Inc.",splicemachine.com,San Francisco,operating,"Data and Analytics,Information Technology,Software",5.0,47500000.0,47500000.0,2012-01-01,2019-02-20,11-50,47500000.0,,,,,,,,,a85a4421-9b5f-cd93-ebc0-2320341ebfa6,Eugene Davis,2012-01-01,,True,Co-Founder & Vice President of Product Management,executive,Eugene,Davis,male,,http://www.linkedin.com/in/genedavis62,http://twitter.com/genedavis62,0,1,1
22729,cb8d3535-0e5b-5d26-82b6-1cf2aef9384f,"Ad Hoc Labs, Inc.",burnerapp.com,Los Angeles,operating,"Hardware,Information Technology,Mobile,Platforms,Software",3.0,2000000.0,2000000.0,2012-08-01,2013-10-21,11-50,2000000.0,,,,,,,,,87f77c43-89cf-28f2-3b56-a488163291ce,Will Carter,,,True,Co - Founder,employee,Will,Carter,male,http://www.facebook.com/wcrtr,http://www.linkedin.com/in/wcrtr,http://twitter.com/wcrtr,1,1,1
22730,cb8d3535-0e5b-5d26-82b6-1cf2aef9384f,"Ad Hoc Labs, Inc.",burnerapp.com,Los Angeles,operating,"Hardware,Information Technology,Mobile,Platforms,Software",3.0,2000000.0,2000000.0,2012-08-01,2013-10-21,11-50,2000000.0,,,,,,,,,2f4ebeab-85d2-91ca-cf91-874d8e71ffa8,Greg Cohn,2011-10-01,,True,Founder & CEO,executive,Greg,Cohn,male,http://www.facebook.com/Gregcohn,http://www.linkedin.com/in/gregcohn,http://twitter.com/gregcohn,1,1,1
22757,de06f54e-6b64-1328-0cec-dadc29a79414,"Inscopix, Inc.",inscopix.com,Palo Alto,operating,"Biotechnology,Health Care,Science and Engineering",1.0,10000000.0,10000000.0,2010-01-01,2016-08-25,11-50,10000000.0,,,,,,,,,ae1c23a4-2ba2-b7d1-5e46-6a41be16771b,Mark Schnitzer,,,True,Co-Founder & Chief Scientist,executive,Mark,Schnitzer,male,,,,0,0,0
22759,de06f54e-6b64-1328-0cec-dadc29a79414,"Inscopix, Inc.",inscopix.com,Palo Alto,operating,"Biotechnology,Health Care,Science and Engineering",1.0,10000000.0,10000000.0,2010-01-01,2016-08-25,11-50,10000000.0,,,,,,,,,9039e9cd-8aac-f5a4-cb23-7db32db7ae55,Kunal Ghosh,2011-07-01,,True,Founder & CEO,executive,Kunal,Ghosh,male,,https://www.linkedin.com/in/kunal-ghosh-54049b31,,0,1,0
22778,7cc3dcdd-c003-ba18-2532-314f09d6851c,Via Transportation Inc.,ridewithvia.com,New York,operating,"Apps,Mobile,Other,Software,Transportation",8.0,777064111.0,777064111.0,2012-06-26,2021-11-30,1001-5000,777064111.0,,,,,,,,,5d150bf4-7da2-fa85-59d4-f8c4273ee680,Daniel Ramot,2012-06-01,,True,Co-Founder and CEO,executive,Daniel,Ramot,male,,https://www.linkedin.com/in/danielramot/,,0,1,0
22779,7cc3dcdd-c003-ba18-2532-314f09d6851c,Via Transportation Inc.,ridewithvia.com,New York,operating,"Apps,Mobile,Other,Software,Transportation",8.0,777064111.0,777064111.0,2012-06-26,2021-11-30,1001-5000,777064111.0,,,,,,,,,e9ca2fc7-8f4a-cd99-21f6-17ae241c8573,Oren Shoval,2012-01-01,,True,Co-Founder and CTO,executive,Oren,Shoval,male,,https://www.linkedin.com/in/orenshoval,,0,1,0
22833,ffd3e2ec-f764-6135-4b41-9a861965223d,"ZS Pharma, Inc.",zspharma.com,Coppell,acquired,"Biotechnology,Health Care,Science and Engineering",5.0,122987972.0,122987972.0,2008-01-01,2014-07-18,51-100,122987972.0,ZS Pharma,AstraZeneca,2015-11-06,2014-06-19,300000000.0,300000000.0,112000000.0,112000000.0,fb11ba9f-3c85-4036-01c8-80060cdbe7aa,D. Jeffrey Keyser,2008-01-01,,True,"Co-Founder , COO",executive,D.,Jeffrey Keyser,male,,https://www.linkedin.com/in/jeff-keyser-ph-d-rph-jd-84a93b10,,0,1,0
22835,ffd3e2ec-f764-6135-4b41-9a861965223d,"ZS Pharma, Inc.",zspharma.com,Coppell,acquired,"Biotechnology,Health Care,Science and Engineering",5.0,122987972.0,122987972.0,2008-01-01,2014-07-18,51-100,122987972.0,ZS Pharma,AstraZeneca,2015-11-06,2014-06-19,300000000.0,300000000.0,112000000.0,112000000.0,98c6ffc7-9158-ed83-0176-0a5087ca1ce1,Alvaro Guillem,2008-01-01,,True,Co-Founder & President,executive,Alvaro,Guillem,male,,https://www.linkedin.com/in/al-guillem-3453315/,,0,1,0
22857,a363ce69-69f5-6f53-edac-935ccba55a09,"Bizible, Inc.",bizible.com,Seattle,closed,"Advertising,Data and Analytics,Information Technology,Internet Services,Sales and Marketing,Software",8.0,42747995.0,42747995.0,2011-02-01,2020-11-13,11-50,42747995.0,Bizible,Marketo,2018-04-30,,,,,,f32dd2e1-ad03-6ad7-8578-0941032829a0,Aaron Bird,2011-01-01,2018-04-01,False,Co-Founder and CEO,executive,Aaron,Bird,male,,https://www.linkedin.com/in/aaronbird,https://twitter.com/aaronbird,0,1,1
22904,5851d2a7-1163-dbc0-02b9-9e56e9b397cc,"Leanplum, Inc.",leanplum.com,San Francisco,operating,"Artificial Intelligence,Commerce and Shopping,Data and Analytics,Information Technology,Internet Services,Messaging and Telecommunications,Sales and Marketing,Science and Engineering,Software",9.0,131222867.0,131222867.0,2012-01-01,2020-02-20,101-250,131222867.0,,,,,,,,,3c44115f-d2ee-eb58-a719-f4ac1acfc882,Momchil Kyurkchiev,2012-01-01,2020-02-01,False,Co-Founder/CEO,executive,Momchil,Kyurkchiev,male,http://www.facebook.com/mkyurkchiev,http://www.linkedin.com/in/momchilkyurkchiev,http://twitter.com/mkyurkchiev,1,1,1
22905,5851d2a7-1163-dbc0-02b9-9e56e9b397cc,"Leanplum, Inc.",leanplum.com,San Francisco,operating,"Artificial Intelligence,Commerce and Shopping,Data and Analytics,Information Technology,Internet Services,Messaging and Telecommunications,Sales and Marketing,Science and Engineering,Software",9.0,131222867.0,131222867.0,2012-01-01,2020-02-20,101-250,131222867.0,,,,,,,,,4dadbe1d-eb57-5800-93ab-6c3c6c1a8ba1,Andrew First,2012-08-01,2018-05-01,False,Co-Founder & CTO,executive,Andrew,First,male,http://www.facebook.com/afirst,http://www.linkedin.com/pub/andrew-first/23/772/315,https://twitter.com/afirst,1,1,1
22946,5aedc5c6-7d7b-bc13-821b-8e071c8b182a,"Instart Logic, Inc.",instartlogic.com,Palo Alto,closed,"Advertising,Artificial Intelligence,Data and Analytics,Information Technology,Internet Services,Media and Entertainment,Mobile,Privacy and Security,Sales and Marketing,Science and Engineering,Software",6.0,140000000.0,140000000.0,2010-11-01,2017-11-02,101-250,140000000.0,,,,,,,,,5d711108-3dfd-1831-3fdf-1f7992646d82,Manav Mital,2018-05-01,,True,Founder,executive,Manav,Mital,male,https://www.facebook.com/manav.r.mital,https://www.linkedin.com/in/manavmital,http://twitter.com/manavrm,1,1,1
22948,5aedc5c6-7d7b-bc13-821b-8e071c8b182a,"Instart Logic, Inc.",instartlogic.com,Palo Alto,closed,"Advertising,Artificial Intelligence,Data and Analytics,Information Technology,Internet Services,Media and Entertainment,Mobile,Privacy and Security,Sales and Marketing,Science and Engineering,Software",6.0,140000000.0,140000000.0,2010-11-01,2017-11-02,101-250,140000000.0,,,,,,,,,257f31b9-7223-44be-20ce-f79b91bf4787,Hariharan Kolam,,,True,CTO and Founder,executive,Hariharan,Kolam,male,,https://www.linkedin.com/in/hariharan-kolam-30bb3b1,http://twitter.com/hkolam,0,1,1
22950,5aedc5c6-7d7b-bc13-821b-8e071c8b182a,"Instart Logic, Inc.",instartlogic.com,Palo Alto,closed,"Advertising,Artificial Intelligence,Data and Analytics,Information Technology,Internet Services,Media and Entertainment,Mobile,Privacy and Security,Sales and Marketing,Science and Engineering,Software",6.0,140000000.0,140000000.0,2010-11-01,2017-11-02,101-250,140000000.0,,,,,,,,,ac77c789-6dbc-aa2b-2a4e-c4e0e76a6758,Raghu Venkat,,,False,CPO and Founder,executive,Raghu,Venkat,male,,https://www.linkedin.com/in/raghu-venkat-b4b7068,http://twitter.com/rvenkat_instart,0,1,1
22960,2d9667bc-823f-1e88-ac66-9f5f62f55a64,"Verdigris Technologies, Inc.",verdigris.co,Moffett Field,operating,"Artificial Intelligence,Data and Analytics,Energy,Internet Services,Science and Engineering,Software",12.0,40732958.0,40732958.0,2011-01-01,2020-04-09,11-50,40732958.0,,,,,,,,,b46756c3-2a80-5c3f-4292-7598b6a9e2ec,Mark Chung,2011-11-01,,True,Founder and CEO,executive,Mark,Chung,male,,https://www.linkedin.com/in/markchung,http://twitter.com/mychung,0,1,1
22961,2d9667bc-823f-1e88-ac66-9f5f62f55a64,"Verdigris Technologies, Inc.",verdigris.co,Moffett Field,operating,"Artificial Intelligence,Data and Analytics,Energy,Internet Services,Science and Engineering,Software",12.0,40732958.0,40732958.0,2011-01-01,2020-04-09,11-50,40732958.0,,,,,,,,,894d0860-600d-2537-00bb-3bb45546872a,Thomas Chung,2010-06-01,,True,Co-Founder & Product,executive,Thomas,Chung,male,http://www.facebook.com/thomas.y.chung,http://www.linkedin.com/in/chungty,http://twitter.com/chungty,1,1,1
22962,2d9667bc-823f-1e88-ac66-9f5f62f55a64,"Verdigris Technologies, Inc.",verdigris.co,Moffett Field,operating,"Artificial Intelligence,Data and Analytics,Energy,Internet Services,Science and Engineering,Software",12.0,40732958.0,40732958.0,2011-01-01,2020-04-09,11-50,40732958.0,,,,,,,,,a5264839-73d2-d726-7f92-8be4a3f56ac6,Jessica Kinloch,2012-03-01,,False,Founder,executive,Jessica,Kinloch,female,,http://www.linkedin.com/pub/jessica-kinloch/1/1ab/204,http://twitter.com/orbqueen,0,1,1
22963,2d9667bc-823f-1e88-ac66-9f5f62f55a64,"Verdigris Technologies, Inc.",verdigris.co,Moffett Field,operating,"Artificial Intelligence,Data and Analytics,Energy,Internet Services,Science and Engineering,Software",12.0,40732958.0,40732958.0,2011-01-01,2020-04-09,11-50,40732958.0,,,,,,,,,36d73b6b-abb2-4735-6003-13bcff74a16a,Jonathan Chu,2010-06-01,,True,Co-founder & CTO,executive,Jonathan,Chu,male,,https://www.linkedin.com/in/jonathanchu1,,0,1,0
22967,19a3905f-f52c-ccbc-af1d-661dd3dc0944,Qloo Inc.,qloo.com,New York,operating,"Artificial Intelligence,Commerce and Shopping,Data and Analytics,Science and Engineering,Software",4.0,14000000.0,14000000.0,2012-01-01,2020-04-01,11-50,14000000.0,,,,,,,,,a2c1d6a1-94fb-c17f-913f-d182ca230db7,Jay Alger,2012-04-01,,True,Co-Founder and Chief Operating Officer,executive,Jay,Alger,male,,,,0,0,0
22968,19a3905f-f52c-ccbc-af1d-661dd3dc0944,Qloo Inc.,qloo.com,New York,operating,"Artificial Intelligence,Commerce and Shopping,Data and Analytics,Science and Engineering,Software",4.0,14000000.0,14000000.0,2012-01-01,2020-04-01,11-50,14000000.0,,,,,,,,,cefb9ff5-2fc7-20e0-17f5-7f2625cebe42,Alex Elias,2012-04-01,,True,Founder and CEO,executive,Alex,Elias,male,https://www.facebook.com/alex.elias.33886,https://www.linkedin.com/in/alelias,https://twitter.com/ape,1,1,1
22988,f9fdfa65-09a8-c101-4fdf-f604e21668f7,"Knotch, Inc.",knotch.com,New York,operating,"Advertising,Data and Analytics,Media and Entertainment,Sales and Marketing,Software",5.0,34278145.0,34278145.0,2012-01-01,2019-01-28,51-100,34278145.0,,,,,,,,,5438ff82-310b-b473-a784-30724defac0b,Anda Gansca,2013-05-01,,True,Co-Founder & Chief Executive Officer,executive,Anda,Gansca,female,http://www.facebook.com/agansca,https://www.linkedin.com/in/anda-gansca-69081117,http://twitter.com/agansca,1,1,1
22989,f9fdfa65-09a8-c101-4fdf-f604e21668f7,"Knotch, Inc.",knotch.com,New York,operating,"Advertising,Data and Analytics,Media and Entertainment,Sales and Marketing,Software",5.0,34278145.0,34278145.0,2012-01-01,2019-01-28,51-100,34278145.0,,,,,,,,,e4309f7e-ef37-eb94-0065-7aa9876dcb10,Stephanie Volftsun,2012-02-01,2015-02-01,False,CTO & Co-Founder,executive,Stephanie,Volftsun,female,http://www.facebook.com/knotchit,http://www.linkedin.com/pub/stephanie-volftsun/28/55/194,http://twitter.com/crrazysteph,1,1,1
22992,d169cd40-b65b-958d-968f-7858f9222981,"Recombine, Inc.",recombine.com,New York,acquired,"Biotechnology,Health Care,Science and Engineering",2.0,12065037.0,12065037.0,2011-01-01,2016-07-06,101-250,12065037.0,Recombine,The Cooper Companies,2016-05-25,,,,,,3413390a-5d5c-a44e-79a5-e4afd049d3ed,Alexander Bisignano,2011-01-01,2016-05-01,False,Co-Founder & CEO,executive,Alexander,Bisignano,male,http://www.facebook.com/alexander.bisignano,http://www.linkedin.com/in/alexanderbisignano,http://twitter.com/alxbz,1,1,1
22993,b70fda95-e629-2d20-2348-8f10ea377a6c,Phosphorus Inc,phosphorus.com,New York,operating,"Biotechnology,Health Care,Science and Engineering",2.0,17993984.0,17993984.0,2016-01-01,2020-08-13,11-50,17993984.0,,,,,,,,,3413390a-5d5c-a44e-79a5-e4afd049d3ed,Alexander Bisignano,2016-05-01,,True,Co-Founder & Chief Executive Officer,executive,Alexander,Bisignano,male,http://www.facebook.com/alexander.bisignano,http://www.linkedin.com/in/alexanderbisignano,http://twitter.com/alxbz,1,1,1
22994,d169cd40-b65b-958d-968f-7858f9222981,"Recombine, Inc.",recombine.com,New York,acquired,"Biotechnology,Health Care,Science and Engineering",2.0,12065037.0,12065037.0,2011-01-01,2016-07-06,101-250,12065037.0,Recombine,The Cooper Companies,2016-05-25,,,,,,dee56814-b126-a266-b3dc-6545d8a98782,Santiago Munne,2011-01-01,2016-06-01,False,Founder,executive,Santiago,Munne,male,,https://www.linkedin.com/in/santiagomunne,,0,1,0
22995,b70fda95-e629-2d20-2348-8f10ea377a6c,Phosphorus Inc,phosphorus.com,New York,operating,"Biotechnology,Health Care,Science and Engineering",2.0,17993984.0,17993984.0,2016-01-01,2020-08-13,11-50,17993984.0,,,,,,,,,dee56814-b126-a266-b3dc-6545d8a98782,Santiago Munne,2016-05-01,,True,Co-Founder,executive,Santiago,Munne,male,,https://www.linkedin.com/in/santiagomunne,,0,1,0
23001,8b68d55a-3249-9d47-0403-45666a91220c,"Seesaw Learning, Inc.",web.seesaw.me,San Francisco,operating,"Apps,Education,Software",4.0,13000000.0,13000000.0,2013-01-01,2021-10-22,51-100,13000000.0,,,,,,,,,92dac2bc-84dd-2bfa-b9c3-5d8b005468ef,Carl Sjogreen,2013-01-01,,True,Co-Founder & CPO,executive,Carl,Sjogreen,male,,http://www.linkedin.com/in/carlsjogreen,http://twitter.com/sjogreen,0,1,1
23003,8b68d55a-3249-9d47-0403-45666a91220c,"Seesaw Learning, Inc.",web.seesaw.me,San Francisco,operating,"Apps,Education,Software",4.0,13000000.0,13000000.0,2013-01-01,2021-10-22,51-100,13000000.0,,,,,,,,,627c32c1-b052-24a4-2fe4-485d28e130ed,Adrian Graham,2013-02-01,,True,Co-Founder & CEO,executive,Adrian,Graham,male,,https://www.linkedin.com/in/adrian-graham-8b79841,,0,1,0
23007,08850f6a-2976-ec06-7ed7-fd39162decf5,CogniCor Technologies Inc.,cognicor.com,San Francisco,operating,"Administrative Services,Artificial Intelligence,Data and Analytics,Financial Services,Other,Professional Services,Science and Engineering,Software",9.0,876242.0,876242.0,2018-01-01,2020-10-21,51-100,876242.0,,,,,,,,,ec09c6ff-4588-7ca1-5ebd-b2169590372d,Rosh Cherian,2012-04-05,,True,Co-Founder & CTO,executive,Rosh,Cherian,male,,https://es.linkedin.com/in/roshcherian,https://twitter.com/fromrosh,0,1,1
23008,08850f6a-2976-ec06-7ed7-fd39162decf5,CogniCor Technologies Inc.,cognicor.com,San Francisco,operating,"Administrative Services,Artificial Intelligence,Data and Analytics,Financial Services,Other,Professional Services,Science and Engineering,Software",9.0,876242.0,876242.0,2018-01-01,2020-10-21,51-100,876242.0,,,,,,,,,6192ea88-a971-948b-cbdc-2a10fab410d3,Sindhu Joseph,2011-09-25,,True,Co-Founder & CEO,executive,Sindhu,Joseph,female,,https://www.linkedin.com/in/sindhujoseph,http://twitter.com/sindhutweet,0,1,1
23040,ab1e9063-6a2c-6735-7775-99631aec760b,"Zoomdata, Inc.",zoomdata.com,Reston,closed,"Data and Analytics,Design,Information Technology,Other,Software",6.0,47199999.0,47199999.0,2012-09-01,2017-10-12,51-100,47199999.0,Zoomdata,Logi Analytics,2019-06-10,,,,,,cc028d8c-69cf-d9eb-b542-fff80ef59295,Russ Cosentino,2015-03-01,2020-02-01,False,"Co-Founder & VP, Channels",executive,Russ,Cosentino,male,http://www.facebook.com/Zoomdata,https://www.linkedin.com/in/russcosentino,http://twitter.com/russcosentino,1,1,1
